d,o,h,l,c,v
2025-07-01,108.130000,109.640000,107.150000,109.240000,15536896
2025-07-02,110.000000,111.360000,108.825000,111.050000,11892160
2025-07-03,110.860000,112.470000,110.618700,112.200000,11223580
2025-07-07,111.540000,112.050000,110.222600,111.110000,15415889
2025-07-08,110.885000,114.460000,110.850000,114.190000,17913404
2025-07-09,113.920000,114.270000,113.270000,113.800000,10652062
2025-07-10,113.710000,115.270000,113.070000,114.930000,14903884
2025-07-11,114.850000,115.760000,114.505300,115.430000,11683884
2025-07-14,115.225000,115.225000,113.220000,113.920000,13220303
2025-07-15,113.660000,114.055000,112.595000,112.910000,10959347
2025-07-16,112.875000,113.500000,112.100000,112.230000,11158852
2025-07-17,111.490000,112.230000,111.090000,111.660000,13151446
2025-07-18,111.110000,111.730000,107.340000,107.770000,32366594
2025-07-21,107.600000,108.770000,107.440000,108.050000,17010405
2025-07-22,107.980000,109.440000,107.610000,108.540000,13970885
2025-07-23,108.930000,110.000000,108.850000,109.930000,12002687
2025-07-24,109.660000,110.950000,109.125000,110.790000,15647208
2025-07-25,110.730000,110.980000,109.700000,110.400000,10548938
2025-07-28,111.000000,112.107800,110.840000,111.440000,12352966
2025-07-29,111.900000,113.000000,111.410000,112.880000,15927998
2025-07-30,112.410000,112.610000,111.260000,111.900000,12996905
2025-07-31,110.360000,112.495000,110.360000,111.640000,17233744
2025-08-01,112.000000,112.540000,108.860000,109.640000,19652030
2025-08-04,109.220000,109.920000,107.085000,107.370000,19129474
2025-08-05,107.220000,107.815100,106.070000,107.240000,21314254
2025-08-06,108.305000,109.050000,106.370000,106.510000,15321811
2025-08-07,107.140000,108.060000,105.890000,105.950000,13468287
2025-08-08,106.500000,107.510000,105.950000,106.800000,14417734
2025-08-11,107.110000,107.534600,105.525000,105.830000,13570661
2025-08-12,106.340000,107.280000,105.780000,106.130000,14113216
2025-08-13,106.000000,107.600000,105.740000,107.600000,17958695
2025-08-14,107.550000,107.590000,106.441000,107.380000,13683472
2025-08-15,106.190000,107.560000,105.950000,106.490000,19271861
2025-08-18,106.100000,107.227600,105.670000,106.720000,13040018
2025-08-19,106.200000,107.460000,106.150000,107.420000,16113611
2025-08-20,107.880000,109.330000,107.680000,108.530000,18959716
2025-08-21,108.420000,109.565000,107.960000,109.230000,12194897
2025-08-22,109.600000,111.410000,109.600000,111.280000,13586668
2025-08-25,110.900000,111.920000,110.540000,111.740000,9744897
2025-08-26,111.370000,111.810000,110.355000,111.490000,18143880
2025-08-27,111.420000,112.980000,111.420000,112.750000,15262630
2025-08-28,112.870000,113.645000,112.070000,113.350000,14189829
2025-08-29,113.715000,114.790000,113.580000,114.290000,14597872
2025-09-02,114.180000,115.240000,113.330000,114.690000,15206667
2025-09-03,113.970000,114.430000,111.460000,111.910000,14920087
2025-09-04,112.105000,113.125000,111.380000,112.400000,12864438
2025-09-05,111.600000,111.780000,109.020000,109.230000,16826692
2025-09-08,109.730000,110.045000,108.350000,109.850000,15440513
2025-09-09,110.525000,112.510000,110.525000,110.650000,14899502
2025-09-10,111.160000,112.560000,110.840000,112.500000,15837583
2025-09-11,111.400000,112.765000,110.870000,112.140000,11534502
2025-09-12,112.860000,113.220000,111.875000,112.160000,11105690
2025-09-15,112.180000,112.455000,111.315000,112.350000,12880487
2025-09-16,112.955000,115.315000,112.775000,114.680000,17208044
2025-09-17,114.525000,115.485000,114.050000,115.290000,13302030
2025-09-18,115.170000,115.350000,113.400000,113.930000,14628726
2025-09-19,113.900000,113.980000,112.640000,112.820000,38746517
2025-09-22,112.450000,112.800000,111.560000,112.020000,15611495
2025-09-23,112.720000,114.748800,112.475000,113.950000,25369106
2025-09-24,114.570000,115.760000,114.470000,114.560000,14756050
2025-09-25,114.640000,115.899900,114.410000,115.590000,15012553
2025-09-26,115.960000,118.360000,115.920000,117.220000,18568916
2025-09-29,116.060000,116.500000,113.665000,114.220000,19189260
2025-09-30,113.350000,113.490000,111.939300,112.750000,18076211
2025-10-01,112.560000,113.020000,111.292500,111.990000,16613992
2025-10-02,111.970000,113.090000,111.025000,111.290000,13062563
2025-10-03,111.900000,113.745000,111.900000,113.260000,12950118
2025-10-06,113.290000,114.770000,113.180000,114.200000,12036830
2025-10-07,114.070000,114.510000,111.740000,114.260000,11945032
2025-10-08,114.380000,115.010000,113.410000,114.020000,12300968
2025-10-09,114.425000,115.510000,112.735000,112.910000,10976215
2025-10-10,112.255000,112.620000,110.710000,110.730000,13811577
2025-10-13,111.540000,112.300000,111.315000,112.240000,10296499
2025-10-14,110.755000,112.962000,110.710000,112.290000,11167154
2025-10-15,112.800000,113.570000,110.970000,111.610000,12182935
2025-10-16,111.880000,112.190000,110.385000,110.640000,11782202
2025-10-17,111.630000,112.910000,111.180000,112.240000,13460069
2025-10-20,112.000000,113.150000,111.980000,112.700000,9523617
2025-10-21,112.890000,113.360100,111.990000,112.710000,9202349
2025-10-22,113.450000,115.180000,113.080000,114.710000,12938790
2025-10-23,116.630000,116.850000,115.360000,115.980000,15001088
2025-10-24,116.350000,116.470000,115.180000,115.390000,9919409
2025-10-27,115.695000,115.985000,115.100000,115.940000,10975412
2025-10-28,115.490000,116.180000,114.990000,115.030000,9535211
2025-10-29,114.920000,117.050000,114.810000,116.450000,12570572
2025-10-30,116.425000,116.520000,114.530000,114.690000,16172943
2025-10-31,113.975000,115.225000,112.622500,114.360000,20213352
2025-11-03,114.500000,114.990000,113.640000,113.760000,12290304
2025-11-04,113.380000,114.350100,112.510000,114.140000,16860741
2025-11-05,114.090000,115.180000,113.670000,113.680000,12400921
2025-11-06,113.640000,114.935000,113.640000,114.500000,14219654
2025-11-07,115.210000,117.505000,114.900000,117.220000,17181149
2025-11-10,117.440000,118.450000,115.455000,118.220000,13047958
2025-11-11,118.830000,120.809900,118.830000,119.780000,16077101
2025-11-12,119.100000,119.280000,117.790000,118.120000,13790889
2025-11-13,118.630000,119.760000,118.280000,118.790000,17291874
2025-11-14,118.450000,119.480000,116.656400,119.290000,17064267
2025-11-17,118.970000,119.500000,117.110000,117.680000,16034860
2025-11-18,117.260000,119.480000,116.480000,119.030000,15808518
2025-11-19,116.850000,118.180000,115.930000,117.350000,15919239
2025-11-20,117.980000,119.005000,116.740000,117.020000,14401011
2025-11-21,116.990000,117.380000,115.650000,117.080000,15667596
2025-11-24,117.200000,117.200000,114.740000,115.970000,18034923
2025-11-25,115.180000,115.900000,114.190000,114.510000,14434558
2025-11-26,114.410000,115.739100,114.310000,114.770000,11650597
2025-11-28,114.950000,118.740000,114.820000,115.920000,7240825
2025-12-01,116.100000,117.410000,116.100000,116.630000,12658100
2025-12-02,116.440000,116.600000,114.690000,115.380000,14607704
2025-12-03,115.945000,117.980000,115.875000,117.800000,16819130
2025-12-04,117.500000,118.340000,116.660000,117.140000,13686897
2025-12-05,116.750000,118.775000,116.410000,116.540000,12516864
2025-12-08,115.830000,117.000000,115.040000,115.980000,14904164
2025-12-09,116.900000,120.470000,116.890000,118.250000,23790815
2025-12-10,118.725000,119.865000,118.370000,119.540000,19845192
2025-12-11,119.110000,120.360000,119.065000,119.540000,14781787
2025-12-12,119.440000,119.920000,118.310000,118.820000,14459538
2025-12-15,119.010000,119.030000,116.850000,117.760000,16358669
2025-12-16,116.765000,116.840000,114.610000,114.680000,17638716
2025-12-17,115.210000,117.620000,115.170000,117.410000,18502152
2025-12-18,116.990000,116.990000,115.630000,116.540000,13705560
2025-12-19,116.750000,117.570000,115.955000,116.690000,45412814
2025-12-22,117.335000,118.460000,117.335000,118.150000,11768611
2025-12-23,118.470000,120.030000,118.320000,119.420000,12567630
2025-12-24,119.330000,120.050000,119.117700,119.220000,6137406
2025-12-26,118.885000,119.550000,118.530000,119.110000,8066129
2025-12-29,120.150000,121.299800,119.400000,120.530000,14782512
2025-12-30,121.100000,121.796000,120.630000,120.990000,11150486
2025-12-31,121.180000,121.260000,119.865000,120.340000,10559866
2026-01-02,120.090000,122.680000,119.606700,122.650000,14175055
2026-01-05,125.210000,125.930000,122.390000,125.360000,30112238
2026-01-06,125.350000,125.800000,121.000000,121.050000,23328636
2026-01-07,119.800000,120.120000,118.274000,118.490000,20352950
2026-01-08,118.980000,123.625000,118.655000,122.910000,20232721
2026-01-09,123.230000,124.860000,123.095000,124.610000,16137674
2026-01-12,124.460000,124.500000,122.560000,124.030000,15314895
2026-01-13,125.000000,127.140000,124.810000,126.540000,21619727
2026-01-14,127.350000,131.721000,127.130000,130.200000,27593938
2026-01-15,129.130000,130.195000,128.300000,129.130000,17400039
2026-01-16,128.910000,130.160000,128.870000,129.890000,16592354
2026-01-20,131.510000,131.940000,130.070000,130.460000,16477282
2026-01-21,131.910000,133.725000,131.910000,133.610000,18879887
2026-01-22,133.050000,134.180000,131.850000,133.640000,16600126
2026-01-23,135.085000,135.980000,134.480000,134.970000,17758214
2026-01-26,136.930000,136.939800,134.170000,134.840000,16056066
2026-01-27,135.245000,136.930000,134.710000,136.830000,14517025
2026-01-28,137.690000,138.010000,136.670000,137.580000,15637279
2026-01-29,140.320000,142.340000,139.110000,140.510000,35760620
2026-01-30,138.740000,142.205000,137.830000,141.400000,29657667
2026-02-02,139.830000,140.320000,138.060000,138.400000,27735570
2026-02-03,138.640000,145.010000,138.310000,143.730000,37577844
2026-02-04,144.115000,147.840000,144.115000,147.590000,29426241
2026-02-05,146.580000,146.730000,143.795000,146.080000,18431739
2026-02-06,146.620000,149.570000,146.090000,149.050000,17216025
2026-02-09,149.260000,151.550000,148.630000,151.210000,21297302
2026-02-10,151.350000,151.780000,149.820000,151.590000,15800255
2026-02-11,153.970000,156.930000,153.570000,155.560000,23091488
2026-02-12,153.890000,155.250000,149.880000,149.930000,30652471
2026-02-13,150.550000,151.660000,147.980000,148.450000,20166031
2026-02-17,148.200000,149.130000,145.150000,146.190000,19766567
2026-02-18,148.150000,150.980000,147.610000,150.680000,19849670
2026-02-19,152.200000,153.380000,150.835000,150.970000,20305026
2026-02-20,150.490000,150.805500,146.460000,147.280000,25908581
2026-02-23,148.150000,151.270000,148.130000,150.760000,16073091
2026-02-24,150.420000,150.720000,148.030000,149.260000,14185457
2026-02-25,149.910000,150.180000,147.330000,149.060000,15225745
2026-02-26,147.805000,150.960000,146.770000,148.540000,15632097
2026-02-27,151.000000,153.650000,149.250000,152.500000,30275132
2026-03-02,159.350000,159.605000,153.030000,154.220000,31493082
2026-03-03,155.430000,156.049000,150.300000,151.830000,25198873
2026-03-04,150.720000,151.160000,147.860000,149.820000,16764761
2026-03-05,151.000000,152.330000,149.470000,150.760000,22969271
2026-03-06,153.150000,153.800000,149.960000,151.210000,21136427
2026-03-09,152.015000,153.889900,149.470000,150.440000,25532656
2026-03-10,149.250000,150.400000,147.700000,148.130000,19617590
2026-03-11,147.990000,151.810000,147.660000,151.580000,15297412
2026-03-12,152.265000,155.000000,151.630000,153.530000,26053965
2026-03-13,154.300000,156.890000,152.975000,156.120000,22414094
2026-03-16,156.000000,157.780000,154.760000,157.230000,22835633
2026-03-17,158.250000,160.450000,156.800000,158.810000,21592171
2026-03-18,159.660000,160.180000,157.530000,157.590000,18947142
2026-03-19,158.260000,159.560000,154.840000,158.160000,27082733
2026-03-20,159.350000,162.440000,159.100000,159.670000,53942142
2026-03-23,156.115000,161.420000,155.020000,161.130000,25021288
2026-03-24,161.710000,167.480000,161.250000,165.380000,26131824
2026-03-25,163.870000,165.000000,162.930000,163.260000,17192333
2026-03-26,164.090000,165.680000,162.060000,165.430000,18625249
2026-03-27,165.580000,171.230000,164.800000,170.990000,30338313
2026-03-30,172.505000,176.410000,171.050000,171.470000,29813504
2026-03-31,172.670000,174.380000,165.970000,169.660000,32006724
2026-04-01,165.770000,168.000000,159.530000,160.780000,37927639
2026-04-02,164.490000,166.900000,159.590000,160.690000,25377657
2026-04-06,160.570000,163.750000,159.530000,163.370000,16344261
2026-04-07,164.220000,166.240000,161.770000,163.910000,25227501
2026-04-08,153.520000,156.350000,150.980000,156.220000,31311201
2026-04-09,156.860000,159.230000,154.310000,155.040000,25868377
2026-04-10,154.040000,155.120000,151.920000,152.510000,21065019
2026-04-13,154.270000,154.620000,151.280000,152.640000,18685605
2026-04-14,150.065000,150.110000,146.720100,149.240000,18528163
2026-04-15,148.600000,150.231495,146.900000,149.010000,15626519
2026-04-16,149.530000,152.780000,149.345000,151.980000,15191033
2026-04-17,144.860000,146.800000,141.970000,146.440000,28947445
2026-04-20,147.380000,149.370000,146.350000,147.680000,16354430
2026-04-21,147.370000,148.809900,146.240000,148.360000,17515930
2026-04-22,149.365000,150.680000,148.180000,149.500000,13738700
2026-04-23,149.850000,151.230000,148.495000,150.530000,12970401
2026-04-24,149.640000,150.300000,146.950500,148.910000,13735857
2026-04-27,149.155000,151.180000,147.970100,148.190000,13940841
2026-04-28,151.530000,152.310000,149.830000,150.560000,15173622
2026-04-29,152.015000,154.950000,151.010000,154.670000,14669140
2026-04-30,152.430000,155.690000,151.340000,154.330000,22885900
2026-05-01,152.610000,155.010000,151.130000,152.750000,15458208
2026-05-04,152.670000,154.470000,149.515000,153.690000,14238533
2026-05-05,153.100000,155.290000,152.407000,154.880000,12494644
2026-05-06,149.070000,150.330000,147.090000,148.690000,20526977
2026-05-07,146.800000,147.080000,144.190000,146.580000,22509403
2026-05-08,145.850000,146.500000,143.920100,144.570000,19550073
2026-05-11,146.020000,149.720000,146.000000,149.680000,14849473
2026-05-12,151.250000,151.810000,149.770100,150.630000,16443098
2026-05-13,150.060000,151.790000,149.680000,151.570000,15772782
2026-05-14,151.900000,153.118300,151.260000,152.780000,11331469
2026-05-15,153.750000,158.000000,153.000000,157.920000,27882407
2026-05-18,157.315000,161.730000,155.230000,160.490000,20065227
2026-05-19,161.500000,163.320000,159.640200,162.550000,20715553
2026-05-20,161.610000,163.680000,156.270000,156.280000,18509731
2026-05-21,158.420000,159.390000,153.460000,155.290000,17061717
2026-05-22,154.030000,155.549900,153.170000,154.920000,12948454
2026-05-26,153.500000,154.550000,149.470000,149.810000,13057760
2026-05-27,147.225000,148.685000,145.752800,147.900000,16241133
2026-05-28,149.340000,150.210000,146.870000,146.960000,14012470
2026-05-29,146.185000,146.930000,144.710000,145.260000,27959898
2026-06-01,147.020000,149.650000,147.000000,149.380000,16732078
2026-06-02,149.025000,150.830000,148.500000,149.560000,10462402
2026-06-03,150.605000,154.910000,150.020000,152.530000,14372958
2026-06-04,152.050000,153.427100,150.940000,152.040000,11799385
2026-06-05,152.005000,152.130000,149.300000,149.920000,16583961
2026-06-08,151.155000,153.810000,150.900000,151.750000,13870875
2026-06-09,150.910000,151.130000,147.780000,148.910000,18163527
2026-06-10,151.230000,152.490000,149.560000,150.620000,14596495
2026-06-11,152.300000,152.490000,146.420000,146.600000,17285829
2026-06-12,145.630000,148.910000,145.150000,147.010000,17713141
2026-06-15,139.740000,141.980000,137.720000,140.920000,23631398
2026-06-16,140.190000,142.150000,139.980000,141.860000,18925363
2026-06-17,141.220000,142.340000,140.320100,140.740000,16663230
2026-06-18,138.320000,138.460000,135.850000,137.810000,48063443
2026-06-22,138.540000,139.000000,137.020000,138.470000,15783290
2026-06-23,139.460000,140.390000,138.500000,139.730000,13699424
2026-06-24,137.120000,137.640000,135.590000,136.900000,16212918
2026-06-25,135.640000,138.070000,134.950000,137.550000,13297155
2026-06-26,136.970000,137.580000,135.915000,136.540000,22684232
2026-06-29,136.580000,137.390000,135.392500,136.060000,11972700
