d,o,h,l,c,v
2024-07-25,61.995000,63.730000,61.470000,61.580000,7174570
2024-07-26,60.550000,61.660000,59.860000,60.180000,11388681
2024-07-29,60.590000,62.270000,59.900000,60.740000,7073972
2024-07-30,61.830000,62.980000,59.770500,60.090000,7195224
2024-07-31,60.960000,62.940000,60.545000,61.880000,6839154
2024-08-01,61.990000,63.849900,59.465300,59.900000,12935692
2024-08-02,58.450000,60.820000,57.670000,60.380000,17898418
2024-08-05,55.000000,59.240000,55.000000,57.210000,13286854
2024-08-06,57.400000,58.610000,56.250000,57.250000,8112084
2024-08-07,58.400000,59.780000,57.662000,58.050000,9056676
2024-08-08,59.230000,61.450000,59.070000,61.210000,7085488
2024-08-09,61.780000,62.680000,60.700000,62.140000,5941025
2024-08-12,62.160000,62.310000,60.360000,61.090000,5746206
2024-08-13,61.880000,63.650000,61.370000,63.370000,4887470
2024-08-14,63.460000,63.600000,61.810000,62.200000,5065529
2024-08-15,63.580000,64.730000,63.490000,64.250000,6944511
2024-08-16,64.470000,65.930000,64.470000,65.870000,5486461
2024-08-19,66.000000,66.900000,65.730000,66.880000,4454527
2024-08-20,66.810000,67.267000,64.830000,64.880000,4906882
2024-08-21,64.925000,65.700000,64.090000,65.650000,5672221
2024-08-22,64.980000,65.880000,63.630000,63.840000,4767265
2024-08-23,64.550000,65.702900,64.400000,65.360000,5618465
2024-08-26,65.460000,66.580000,65.410000,65.560000,4375109
2024-08-27,65.000000,66.800000,64.985000,66.640000,3643573
2024-08-28,66.235000,66.460000,63.860000,64.680000,5095980
2024-08-29,65.340000,68.490000,65.340000,66.420000,7233788
2024-08-30,66.870000,66.965000,64.750000,66.080000,5850662
2024-09-03,64.650000,65.660000,63.779000,64.170000,4583007
2024-09-04,63.860000,65.240000,63.670000,64.080000,4050915
2024-09-05,63.970000,65.230000,63.695000,64.580000,3689295
2024-09-06,64.680000,65.410000,60.980000,61.240000,6448467
2024-09-09,62.090000,63.050000,61.060000,61.310000,5535141
2024-09-10,61.490000,61.590000,59.200000,61.370000,7279556
2024-09-11,60.960000,63.570000,60.200000,63.380000,5833553
2024-09-12,63.445000,63.760000,62.110000,63.670000,3781459
2024-09-13,63.730000,64.880000,63.710000,63.990000,4682930
2024-09-16,64.040000,66.180000,63.980000,65.780000,5428360
2024-09-17,66.770000,67.845000,66.480000,67.330000,4502746
2024-09-18,67.220000,68.240000,66.260000,66.740000,5595059
2024-09-19,68.970000,69.400000,67.980000,68.640000,6547792
2024-09-20,68.600000,69.000000,66.628000,67.460000,7744793
2024-09-23,67.580000,68.570000,67.050000,67.830000,5289691
2024-09-24,68.450000,68.610000,66.510000,67.540000,6374641
2024-09-25,67.650000,67.860000,65.140000,65.240000,5782322
2024-09-26,66.270000,66.627800,64.915000,66.520000,5902043
2024-09-27,67.145000,67.540000,65.180000,66.970000,7327722
2024-09-30,66.580000,68.349900,66.500000,67.130000,5304050
2024-10-01,67.000000,67.260000,64.430000,65.940000,6599324
2024-10-02,65.590000,66.130000,63.934700,65.060000,5265566
2024-10-03,64.500000,65.710000,64.390000,65.640000,4346099
2024-10-04,66.950000,67.060000,65.380000,67.020000,4554065
2024-10-07,66.800000,67.300000,65.380000,65.710000,4076836
2024-10-08,65.660000,68.510000,65.590000,68.250000,5336700
2024-10-09,68.690000,68.930000,67.140000,68.270000,4594438
2024-10-10,67.220000,71.010000,67.220000,70.020000,8347478
2024-10-11,69.960000,70.610000,68.800000,69.700000,6098576
2024-10-14,69.960000,71.760000,69.000000,71.650000,6955684
2024-10-15,72.250000,72.550000,69.858500,71.790000,5465749
2024-10-16,71.890000,73.590000,71.324000,73.530000,5292058
2024-10-17,73.755000,74.180000,72.630000,73.680000,4860951
2024-10-18,73.670000,74.940000,72.708000,74.660000,4293354
2024-10-21,74.560000,75.000000,73.295000,73.910000,4239955
2024-10-22,73.310000,73.939900,72.540000,72.820000,4704453
2024-10-23,72.470000,73.830000,70.751200,71.390000,4723109
2024-10-24,72.180000,73.010000,71.761100,72.550000,3006180
2024-10-25,73.060000,73.460000,72.120000,72.610000,3964224
2024-10-28,73.010000,74.600000,73.000000,74.480000,4104639
2024-10-29,74.790000,74.790000,73.210000,73.220000,4501293
2024-10-30,72.730000,74.480000,72.730000,73.290000,4161920
2024-10-31,72.500000,73.730000,71.600000,72.320000,4373606
2024-11-01,72.230000,73.112600,71.750000,72.150000,5643079
2024-11-04,72.200000,73.710000,72.040000,72.690000,4577238
2024-11-05,71.630000,72.895000,71.630000,72.380000,5489718
2024-11-06,74.970000,78.100000,74.160000,77.640000,10380759
2024-11-07,77.410000,78.080000,74.935000,75.270000,19111781
2024-11-08,71.890000,74.820000,69.030000,74.560000,24843731
2024-11-11,75.900000,83.949900,75.800000,83.400000,20910660
2024-11-12,82.660000,87.410000,82.390000,87.250000,15209253
2024-11-13,86.300000,90.000000,85.252600,85.820000,12982370
2024-11-14,85.370000,85.950000,82.920000,83.420000,9206349
2024-11-15,82.550000,84.520000,81.840000,84.300000,6915237
2024-11-18,83.760000,91.830000,83.360000,90.790000,16671521
2024-11-19,90.000000,93.000000,89.790000,92.420000,13334187
2024-11-20,92.000000,93.000000,89.471000,89.700000,7897370
2024-11-21,90.735000,93.960000,89.624000,92.700000,14160511
2024-11-22,92.610000,94.120000,91.814500,92.260000,9117000
2024-11-25,92.500000,92.510000,89.270000,90.750000,11126928
2024-11-26,89.835000,90.720000,88.580000,89.010000,7855259
2024-11-27,89.430000,90.650000,88.200000,88.780000,6646061
2024-11-29,89.410000,90.076400,88.460000,88.550000,4527358
2024-12-02,92.440000,95.950000,92.000000,92.780000,14027754
2024-12-03,91.850000,93.780000,90.760000,93.200000,8252691
2024-12-04,95.150000,98.950000,94.300000,98.920000,12564122
2024-12-05,99.115000,99.260000,95.547500,95.870000,9374172
2024-12-06,97.480000,98.819000,96.040000,98.250000,9410655
2024-12-09,97.290000,98.050000,94.400000,95.420000,8420281
2024-12-10,96.880000,97.040000,93.800000,94.040000,6371807
2024-12-11,95.755000,98.990000,95.510000,98.190000,7707348
2024-12-12,96.420000,96.980000,93.960000,94.110000,9777432
2024-12-13,94.620000,95.390000,91.910000,91.980000,8351614
2024-12-16,92.720000,94.620000,91.550000,93.780000,6678728
2024-12-17,93.590000,95.590000,93.150000,94.550000,6004331
2024-12-18,94.260000,95.780000,87.190000,87.300000,11011207
2024-12-19,90.080000,91.810000,87.300000,87.640000,8398197
2024-12-20,86.840000,90.780000,86.201500,89.650000,8834262
2024-12-23,89.480000,89.840000,87.660000,89.290000,4208478
2024-12-24,89.630000,91.140000,88.880000,91.080000,2197731
2024-12-26,90.500000,91.630000,90.289200,91.480000,2999953
2024-12-27,91.000000,91.290000,88.050000,88.970000,4140775
2024-12-30,88.405000,88.690000,86.830000,87.480000,5383763
2024-12-31,87.720000,88.000000,84.820000,84.990000,4989399
2025-01-02,86.150000,87.550000,84.842500,86.750000,5695433
2025-01-03,90.645000,92.650000,89.230100,92.160000,10633362
2025-01-06,93.630000,93.830000,91.220000,91.940000,6464807
2025-01-07,92.360000,93.580000,86.820000,87.680000,6851729
2025-01-08,87.525000,88.378800,85.690000,86.750000,5932650
2025-01-10,84.970000,84.970000,81.650000,82.540000,8229742
2025-01-13,80.720000,82.190000,80.200000,82.010000,6934287
2025-01-14,83.030000,84.280000,81.650000,82.420000,5221767
2025-01-15,86.120000,86.800000,84.321000,84.790000,6120509
