d,o,h,l,c,v
2025-08-01,91.520000,91.785000,89.325000,90.620000,2308390
2025-08-04,90.500000,92.660000,90.110000,92.400000,1913659
2025-08-05,92.730000,93.040000,91.560000,92.050000,1875563
2025-08-06,91.810000,92.410000,90.670000,91.150000,2094577
2025-08-07,95.890000,101.930000,95.000000,98.430000,4223599
2025-08-08,98.980000,99.380000,96.660000,99.260000,2459699
2025-08-11,99.540000,100.570000,98.775000,100.020000,1839920
2025-08-12,100.100000,102.269200,99.560000,101.820000,1913146
2025-08-13,102.160000,103.570000,101.750000,103.220000,1254283
2025-08-14,102.520000,102.650000,101.555000,102.120000,1525261
2025-08-15,102.480000,103.200000,101.720000,102.750000,1058194
2025-08-18,102.840000,103.610000,102.310000,102.560000,1141826
2025-08-19,102.040000,104.850000,101.790000,104.310000,1316386
2025-08-20,104.540000,106.670000,104.350000,105.710000,1844247
2025-08-21,105.090000,105.462500,104.130000,104.420000,1280805
2025-08-22,105.250000,107.770000,104.850000,107.710000,1099560
2025-08-25,108.000000,108.230000,106.630000,107.320000,1478931
2025-08-26,107.010000,108.290000,106.750000,107.540000,1792704
2025-08-27,107.170000,107.850000,106.250000,106.790000,846055
2025-08-28,106.340000,106.585000,104.190000,105.060000,1092867
2025-08-29,105.190000,106.160000,105.045000,106.100000,680071
2025-09-02,105.720000,106.110000,104.560000,105.010000,1023652
2025-09-03,104.380000,105.080000,103.725000,105.040000,1110559
2025-09-04,104.990000,105.339100,104.090000,104.760000,998948
2025-09-05,104.770000,106.200000,104.490000,105.730000,1168434
2025-09-08,105.400000,105.500000,103.280000,104.710000,1780248
2025-09-09,104.010000,104.755000,103.690000,103.850000,1282667
2025-09-10,103.210000,104.070000,102.160000,102.300000,1576835
2025-09-11,102.310000,104.490000,101.950000,104.260000,1147597
2025-09-12,103.670000,104.100000,102.900000,103.080000,883472
2025-09-15,103.160000,103.500000,100.770000,100.960000,957827
2025-09-16,100.250000,100.690000,98.670000,99.120000,1734893
2025-09-17,99.450000,101.650000,99.140000,99.920000,1648036
2025-09-18,100.740000,101.300000,98.450000,100.210000,1304550
2025-09-19,101.150000,101.450000,99.710100,100.090000,4228508
2025-09-22,99.400000,102.100000,99.010000,101.740000,1531579
2025-09-23,101.660000,103.600000,99.860000,100.290000,1429974
2025-09-24,99.720000,100.300000,98.750000,98.980000,1406872
2025-09-25,98.060000,98.380000,96.215000,96.970000,1060028
2025-09-26,97.310000,98.520000,97.000000,98.240000,884333
2025-09-29,98.060000,98.520000,96.600000,98.280000,928955
2025-09-30,97.950000,98.670000,97.520000,98.500000,1188265
2025-10-01,98.830000,99.328600,96.055000,98.890000,1193558
2025-10-02,98.240000,99.320000,97.890000,99.170000,730480
2025-10-03,99.180000,101.110000,99.130000,100.780000,896224
2025-10-06,101.030000,101.310000,98.780000,98.830000,1065643
2025-10-07,99.430000,99.860000,98.560000,99.060000,920810
2025-10-08,98.660000,98.660000,97.535000,98.360000,1100660
2025-10-09,98.680000,98.877000,97.050000,97.370000,810001
2025-10-10,97.590000,97.650000,94.640000,94.710000,1256692
2025-10-13,94.910000,96.329900,94.010000,95.090000,1485368
2025-10-14,94.610000,98.740000,94.610000,98.370000,1349552
2025-10-15,97.980000,100.890000,97.980000,99.380000,2313245
2025-10-16,99.520000,100.560000,99.235000,99.920000,1000153
2025-10-17,99.820000,102.100000,99.060000,101.920000,1158906
2025-10-20,102.330000,103.780000,102.190000,102.740000,1636042
2025-10-21,102.810000,103.120000,102.130000,102.690000,800955
